Item_ID,Name,Category,Ingredients,Price,Rating
96,chicken farcha,Indian,"boneless chicken thigh (without skin), lemon juice, garlic paste, ginger paste, red chilli powder, coriander powder, garam masala, black pepper (crushed), salt, bread crumbs / semolina, eggs, red chilli powder, oil",1735,1
97,apple rabdi,Dessert,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",1011,2
98,lotus leaf wrapped fried rice,Chinese,"Jasmine Rice (Baked), Edamame Beans, Mock Meat, Shitake Mushroom, Spring Onion, Dark Soy Sauce, Sunflower Oil, Salt",450,4
99,fish andlouse,French,"white wine and water mix to cover, onion, salt, bay leaf, black pepper corns, olive oil, onion, garlic, tomatoes (peeled and seeded), basil leaves, spring fresh thyme - optional 1 bay leaf, salt and pepper, olive oil, wine vinegar, prepared mustard, salt and pepper, assorted garden herbs ( parsley, basil etc.",2807,1
99,green asparagus risotto,Italian,"carnaroli rice, vegetable broth, butter, extra virgin olive oil, parmigiano cheese, onion (minced), white wine, salt & pepper",294,1
100,cauliflower and chicken biryani,Indian,"boneless chicken, biryani masala, yogurt, onions, coconut oil, cauliflower, coconut (diced), onion (diced), peppercorns, cardamoms, cumin seeds, bay leaves, cinnamon, cloves, coconut oil, garam masala, dry chilli flakes, turmeric powder, black peppercorns, cardamom, cinnamon, garlic (crushed), tomato puree, green chillies, fresh ginger (peeled), dry red chilli, salt",2085,4
100,"Ricotta Gnocchi with Asparagus, Peas, and Morels",Italian," ricotta,Asparagus,  morel mushrooms, Olive Oil,  Parmesan, fresh peas, butter, black pepper,  shallot, ",2142,4
103,chicken roulade,French,"chicken breasts, olives, jalapenos, bell peppers(all 3), thyme dried, white wine, salt, black pepper (crushed to taste), egg, olive oil, mozerella cheese, processed cheese",552,3
107,spicy creamy kadai chicken,Indian,"chicken, ginger-garlic paste, pepper powder, lime juice, oil, salt, tomatoes, green chillies, ginger-garlic paste, chilli powder, black cardamoms, cloves, water, onion, ginger, green chillies, chilli powder, turmeric powder, garam masala, kasturi methi, cream",668,1
108,dates and nuts ladoo,Dessert,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",2458,2
108,chicken nimbu dhaniya shorba,Beverage,"water, chicken (diced)), ginger garlic paste, coriander, lemon, cream, butter, turmeric powder, green chilli paste, cornflour, salt",2555,2
111,cajun spiced turkey wrapped with bacon,Mexican,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))",1690,4
112,carrot ginger soup,Healthy Food,"Carrots, Olive Oil, Salt, Vegetable Stock, Ginger, Thyme, Onion, Garlic Buds, Pepper (Freshly Picked)",2226,1
113,crispy herb chicken,Italian,"fresh breadcrumbs, parmesan cheese, lemon rind, fresh parsley leaves, garlic powder, plain flour, egg, milk, chicken breast supremes, vegetable oil, mayonnaise, sour cream, fresh chives (dried if fresh not available), fresh parsley (dried if fresh not available), garlic, red onion (optional), ground black pepper, salt",2835,5
113,thai fish curry,Thai,"fish (cubed), thai green curry paste, oil, onions, garlic, ginger/galangal, coconut milk, coriander, lemon juice, palm sugar, basil leaves, salt & pepper",715,1
113,chicken shaami kebab,Indian,"Chana Dal, Chicken Thai, Salt, Whole Red Chillies, Cumin, Whole Coriander, Cloves, Pepper Whole, Cinnamon Stick, Celery, Eggs, Green Coriander, Mint, Green Chillies, Ginger, Garlic Buds, Oil",750,5
116,Lamb and Green Squash Dumplings,Chinese,"Squash, zucchini, scallions, soya sauce, ginger, cooking wine, vineger, all purpose flour, sichuan peppercorns,ground lamb,",521,4
117,detox haldi tea,Beverage,"haldi, ginger, black pepper, honey, water",2353,5
118,active charcoal modak,Japanese,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)",1875,1
120,spinach & banana pancakes,Healthy Food,"Rolled Oats, Milk, Spinach, Banana, Egg, Cinnamon Powder, Vanilla Extract, Baking Powder",940,3
121,vegetable pulao,Indian,"water, basmati rice, ghee, paneer (cooked), carrot, beans, peas, elaichi, cardamoms, cinnamon, bay leaves, cumin seeds, chilli powder, turmeric, salt, coriander leaves",287,3
124,mixed vegetable soup,Healthy Food,"Mix vegetable (tomatoes, carrots, peas and French beans), salt, cumin powder, oil, curry leaves",1409,5
127,flax seed and beetroot modak,Japanese,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder",975,2
128,cinnamon star cookies,Dessert,"Butter, Castor Sugar, Christmas Mix Spicy, Cinnamon Powder, Honey, Glucose, Cream, Poultry Flour, Baking Soda, Bread Flour",1897,2
129,kerala fish curry,Indian,"white fish (cut into cubes), onion, tomato, garlic cloves, fresh green chillies (deseeded), oil, fresh coconut paste, red chilli paste, coriander powder, turmeric powder, salt, whole dry red chillies, black mustard seeds, curry leaves, tamarind extract, water",2822,5
129,fennel scented sweet banana fritters,Dessert,"Wheat flour, banana, jaggery, milk or water, ghee or oil",1970,1
130,mixed beans salad,Healthy Food,"mixed boiled beans (choose from rajma, chawli, chick peas, hara chana), spring onions, tomatoes (diced), oil, lemon juice, basil, garlic, salt and pepper, for garnish:, coriander",2959,2
130,Grilled Sweet Prawn,Chinese,"Prawn, teriyaki sauce, salmon, avacado, cucumber",617,1
131,lemon rice,Indian,"cooked basmati rice, oil, asafoetida (heeng), mustard seeds (sarson), curry leaves (kadhi patta), whole red chilli (sabut laal mirch), turmeric powder(haldi), salt, lemon juice, peanuts, urad dal, chana dal, ginger",2859,4
131,camel milk cake tart,Dessert,"Camel milk, sugar, vinegar, butter, brown sugar, maida, eggs",1130,5
132,seafood rock filler,French,"baked tart of mixed sea food served with phyllo fruit bowl, savory tart shell (semi baked), mixed sea food, mornay sauce, assorted herb and seasoning, phyllo pastry, assorted seasonal fruit",460,2
133,dahi chicken,Indian,"dahi, cumin powder, garlic paste, garam masala, turmeric powder, red chilli powder, salt, boneless chicken, oil, green chilli, onion, tomato",665,4
133,apple kheer,Dessert,"apples, basmati rice, nuscovado sugar (you can also use normal sugar), cashew nuts and almonds, cassia bark or cinnamon stick, red grapes",1857,4
134,pesto fish kebabs,Indian,"King fish cut into one inch pieces, paprika cut into one inch pieces, bezel pasto, white wine vinegar, salt, cooking spray",1945,2
135,banana walnut smoothie,Healthy Food,"Low Fat Yogurt, Banana, Walnuts, Seeds (Facseeds and Chia Seeds), Honey",1695,3
137,strawberry & pistachio breton tart,Dessert,"plain flour, baking powder, sea salt, unsalted butter, egg yoks, castor sugar, double cream, yolk, sugar, gelatine, butter, pistachio paste, strawberry",502,2
141,sweet chilli almonds,Snack,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder",2863,5
141,spanish artichoke and spinach dip,Mexican,"spinach, onion, cream, garlic, nutmeg, salt, lime juice, artichoke hearts (cubed), polenta, refined flour, salt, water, butter, flour, salt, pepper (freshly ground)",527,5
142,sticky rum chicken wings,Snack,"chicken wings without skin, hung curd, chilli powder, sweet paprika powder, english mustard paste, garlic paste, salt, garlic, rum, bbq sauce",1696,4
144,spanish fish fry,Mexican,"Sol fish, tomato, onion, lemon juice, olive oil, ginger and garlic paste, bay leaves, cinnamon stick, green chillies, vinegar, salt, water",2459,2
145,apple and walnut cake,Dessert,"Apple, Eggs, Walnuts, Sugar, Walnuts, Oil, Flour, Baking Powder, Cinnamon Powder",1957,2
151,baked multigrain murukku,Snack,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil",2239,5
151,ragi oats ladoo (laddu),Dessert,"ragi flour, oats flour, dates (ripe), milk, honey, ghee, green cardamom powder, white sesame seeds, coconut powder, cashew nuts",2818,3
153,Updated Item,Main Course,Delicious and fresh,15,3
155,wok tossed asparagus in mild garlic sauce,Healthy Food,"asparagus, 1 fried onion (medium), 1/2 tsp breakfast sugar, 10 ml potato starch, 20 ml stock vegetarian, 20 gm porcini, salt to taste, 50 ml oil",2300,3
156,chicken quinoa biryani,Healthy Food,"onions, tomato, green chillies(slit open), ginger garlic paste, mint leaves, coriander leaves/cilantro, fresh yogurt/curd(beaten), turmeric powder, chilli powder, salt, chicken (cut into pieces), garam masala powder, ginger garlic paste, yogurt/curd, chilli powder, coriander powder, salt, oil, cloves, bay leaf , cardamom",908,2
157,Rice with Soy-Glazed Bonito Flakes and Sesame Seeds,Japanese,"sake, sesame seeds, soy sauce, rice, japanese sauces",1712,2
159,Pad Thai,Thai,"noodles, vegetable oil, garlic, eggs, lime juice , brown sugar, fish sauce, ginger,red pepper flakes, onion, cilantro, penuts",1447,3
160,spinach and feta crepes,French,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",2975,5
162,sali boti (parsi meat dish),Indian,"mutton (wash and cut into very small cubes), ghee or oil, tomatoes, onions, green chillies, coriander leaves, chilli powder, turmeric powder, ginger-garlic paste, water, vinegar, jaggery, salt, potatoes, oil",2914,2
164,chicken popcorn,Chinese,"chicken (boneless), corn flour or all purpose flour, egg, bread crumbs, salt, ginger garlic paste, black pepper, onion powder (optional), red chilli powder or paprika or cayenne pepper, oil for deep frying",1571,5
164,double chocolate easter cookies ,Dessert,"Butter, Brown Sugar, Castor Sugar, Vanilla Essence, Dark Chocolate, Refined Flour, Cocoa Powder, Baking Soda, Salt, Milk, Cadbury Gems",1440,5
165,holi special malai kofta,Indian,"potatoes, paneer (cottage cheese), maida, coriander leaves (chopped), onion, ginger-garlic paste, tomatoes, malai or cream, raisins and cashew nuts, cashew nuts paste, haldi, red chilli powder, kitchen king masala, kasuri methi (dry fenugreek), salt, sugar",2871,4
166,lemon poppy seed cake,Dessert,"plain flour, baking powder, salt, castor sugar, baking soda, eggs, butter, vanilla essence, lemon juice, poppy seed, lemon peel, to serve:, lemon syrup, whip cream, fresh berry",1543,1
166,Sea Food Soup,Chinese,"Prawn,Squid, fish ball, fish cake, mussels, crab sticks",2868,2
167,chicken razala,Indian,chicken cooked in a rich gravy with mint,607,3
168,quinoa coconut crumble custard,Dessert,"Knoia (cooked), oats, cinnamon powder, salt, brown sugar or jaggery, nuts, coconut nuts, eggs, kinoia, coconut milk, maple syrup, vanilla extract, cinnamon powder, salt, honey",745,4
169,clotted cottage cheese croquettes,Italian,"black pepper, black salt, bread crumb, corn flour, refined oil, jalapeno, jeera powder, maida, cottage cheese, parsley, salt, for thousand island dressing:, mayonnaise, tomato ketchup, minced garlic, celery, black pepper",1251,4
169,chettinadu chicken,Indian,chicken and spices,2311,1
170,eggless vanilla cake,Dessert,"maida, baking powder, castor sugar, butter, milk, vanilla essence, vinegar",634,5
172,gajar tart,French,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder",1051,5
173,vegetable manchurian,Chinese,"mixed vegetables - chopped fine or grated, eggs (slightly beaten), refined flour, garlic paste, ginger paste, water, oil , garlic , onions , capsicum, cornflour (blended with water), vinegar, salt, soya sauce, tomato puree, celery, ajinomoto (optional), water",736,2
176,veg hakka noodles,Chinese,"noodles, salt, oil, garlic paste, ginger paste, beans, cabbage, carrot, spring onion, capsicum, soy sauce, green chilli sauce, tomato sauce",139,1
176,Bean Curd Rolls,Vietnames,"bean curd,mix herbs, lettuce, cucuber, rice paper",2956,4
177,watermelon and strawberry smoothie,Healthy Food,"fresh strawberries, honey, low fat yogurt, watermelon, chia seeds",1673,3
177,pista chocolate & mandarin,Dessert,"Pistachios, milk, sugar, broken rice, green cardamom, white chocolate, milk, egg yolks, whipped cream, vanilla pod, mandarin, sugar, water",2464,3
177,Quinoa Bowl and Berries,Healthy Food,"quinoa, black berries,strawberries, blueberries,,chia seeds, almonds",2477,3
178,thai pineapple rice,Thai,"rice, onion, thai ginger , fresh turmeric, curry leaf, lemon grass, coconut milk, salt, hot curry powder, pineapple chunks, oil, water, turmeric powder, fresh pineapple",418,4
179,mother christmas cake,Dessert,"tart apples (2 large), sugar, apple juice, eggs, vegetable oil, vanilla extracts, all-purpose flour, apple pie spice (cinnamon), salt, pecans, candied red cherries (halved), candied green cherried (halved), candied pineapple (diced), cashews (optional)",1874,4
181,moong dal kiwi coconut soup,Indian,"green gram (dhuli moong dal), kiwis, coconut cream, oil, bay leaves, cumin seeds, coriander seeds, black peppercorns, garlic cloves, medium onion, carrot, turmeric powder, curry powder, salt, fresh coriander sprigs",434,3
181,Kimchi Bokumbab,Korean,"Cabbage Kimchi, Stir fried eggs, rice, seaweed, sesame seeds, spring onion",230,1
181,Korean fried Chicken,Korean," korean sauce, boneless chicken,sesame seeds",2768,4
181,Stir-Fried Lettuces With Crispy Shallots,Chinese,"sliced shallots,pepper,salt,garlic, ginger, lettuce,brown rice",2079,3
182,badam papite ke kebab with pineapple salsa,Indian,"Raw papaya, raw potato, almonds, salt, asafoetida, turmeric, celery, coriander, ginger, green chillies, gram flour, green coriander, oil, pineapple, onion, green chillies, green coriander, lemon juice, salt, pepper",1896,1
184,strawberry quinoa pancakes,Healthy Food,"quinoa, milk, olive oil, egg (slightly beaten), baking powder, orange essence, castor sugar, maple syrup, strawberries (to garnish)",1045,4
184,Spicy Korean Steak,Korean," boneless steak, olive oil, black pepper, oyster sauce,  ginger, chilli flakes, cooking wine, kimchi,cilantro",2533,4
185,steam bunny chicken bao,Japanese,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",2334,5
185,chocolate doughnut,Dessert,"Sugar, egg yolks, egg, butter, yeast, milk",2892,1
186,French Spiced Bread,French,"all purpose flour, butter, dried appricots, honey, milk dried plumps, sugar,salt",945,2
186,Summer Rolls,Vietnames,"Mint, Lettuce, Noodles, Prawn, Rice Paper,Peanut Sauce",2425,2
187,cinnamon oatmeal pancakes,Healthy Food,"rolled oats, buttermilk (divided), whole wheat flour or oat flour, baking powder, baking soda, cinnamon, salt, eggs, canola oil , honey or maple syrup,",2232,1
