Item_ID,Name,Category,Ingredients,Price,Rating
48,fish with jamun sauce,Indian,"jamun, sugar, chilli, garlic cloves (minced), cumin (powdered), fish fillet (pomfret (or any white fish), semolina, salt, wilted spinach",314,5
483,easy bread poha,Indian,"oil, hing, mustard seeds, curry leaves, whole red chillies, cookes peas, peanuts, turmeric powder, salt, bread, green chillies, lemon juice, coriander leaves, dessicated coconut",1310,5
480,Tandoori Chicken,Indian,"Cicken, yougurt, tandori spices, ginger, coriander, turmeric, lime",2824,5
68,chocolate nero cookies,Dessert,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",536,5
51,lemon honey glazed sous vide corn on the cob,Snack,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",2102,5
496,rice in lamb stock,Thai,"Rice, desi ghee, big cardamom, bay leaf, cinnamon stick, fennel, onion, lamb bonz, royal cumin, cashew, cream, green cardamom powder, salt, water",2338,5
5,prawn fried rice,Thai,"Oil, Bacon, Prawns, Chicken, Carrots, Garlic Buds, Ginger, Spring Onion, Sweet Chili Sauce, Soy Sauce, Salt, Pepper, Sweet Corn, Vinegar, Baked Rice, Green Coriander",772,2
56,shrimp & cilantro ceviche,French,"prawns, gherkin, onion, cilantro, mix bell pepper, tiger milk, sweet corn, sea salt, black pepper, green lemon juice, cherry tomato, edible flower, coriander stems, celery stalks, garlic, ginger, red onion, lemon juice, sea salt, black pepper",732,5
6,chicken paella,Mexican,"chicken, oil, salt and pepper, paprika powder, chilli flakes, garlic paste, onions, bell peppers, rice, vegetable stock, saffron, peas, olives, parsley, white wine",2509,5
58,bread with tomatoes and olives,Italian,"French Bread Loaf, Tomato, Extra Virgin Olive Oil, Salt, Black Pepper, Passerley, Stuffed Green Olive",562,5
59,chocolate chip cheesecake,Dessert,"butter biscuits (broken into pieces), butter (softened), cream cheese (softened), sugar, egg, rose essence or vanilla essence, chocolate chips",1273,5
72,hot chocolate,Beverage,"milk, chocolate, cocoa powder, powdered sugar, cinnamon, vanilla",1240,5
71,Alo Achar,Nepalese,"boiled potatoes, peas, cucumber, mustard oil, turmeric powder, cumin powder, carrot, salt",238,5
78,Lemon-Ginger Cake with Pistachios,Desserts,"egg yolks,lemon juice, unsalted butter, all purpose flour, sugar, ginger, milk",1097,5
88,meat lovers pizza,Italian,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",1835,5
92,kasha bread,French,"kasha, boiling water, buckwheat flour, all-purpose gluten free flour, brown sugar, baking powder, baking soda, xanthum gum, salt, buttermilk, cream, egg, oil, walnuts",1913,5
